PID,group,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,score,is_multiple
78/1467-1,2,0.3079999999999986,0.028192499193424276,0.8688645829278736,0.4197572396355327,0.4062035804392073,False
96/4282,2,0.2899999999999989,0.0597205421686259,0.8944900821478663,0.3780905038315522,0.4055752820370109,False
68/4388,2,0.2939999999999991,0.027466810019864864,0.8870256308364792,0.41289005141948165,0.40534562306895616,False
36/4118,2,0.4359999999999989,0.14994128803989618,0.8625526488658758,0.151400899956438,0.3999737092155522,False
82/1364,2,0.23999999999999827,0.034371072232603196,0.908543286255037,0.41529911623223303,0.3995533686799679,False
50/6759,2,0.2579999999999998,0.0668152510739372,0.8953152575004011,0.37613536815758347,0.3990664691829804,False
71/6601,2,0.25399999999999967,0.04374416781364583,0.9012435400516795,0.39424433604315895,0.398308010977121,False
181/2834,2,0.2579999999999998,0.08771944165591333,0.8974750723705371,0.34660483332663955,0.39744983683827245,False
50/2082,2,0.25399999999999967,0.06220506389548937,0.9027744075062688,0.3641236225384328,0.39577577348504767,False
13/5236,2,0.23999999999999827,0.03954557253663551,0.8944900821478663,0.4062687000042977,0.39507608867219945,False
86/5681,2,0.2859999999999988,0.03870784269202168,0.88575850164676,0.36833050413176494,0.39469921211763637,False
24/6914,2,0.24999999999999956,0.042347705079469784,0.8889331368722871,0.3934982561821364,0.39369477453347324,False
82/4206,2,0.2619999999999999,0.08232729381499007,0.903944277962258,0.32422406144196203,0.3931239083048025,False
78/6727,2,0.25399999999999967,0.0572332963623167,0.8974029106697756,0.361122797191416,0.392439751055877,False
46/2181,2,0.2319999999999999,0.030030937042253802,0.9022635408245757,0.3987228064873659,0.3907543210885488,False
69/5011,2,0.2679999999999992,0.04183665955375274,0.8941317844982976,0.3534245654731114,0.3893482523812902,False
93/2671,2,0.2559999999999988,0.01980752352143828,0.8732151938348394,0.4080873327074834,0.38927751251593995,False
37/1629,2,0.24799999999999855,0.03501761237312108,0.8936306497457864,0.37636476573957733,0.3882532569646209,False
93/6765,2,0.2459999999999994,0.035296934086073206,0.8962858863681991,0.37329926278262393,0.3877205208092239,False
92/1375,2,0.2459999999999994,0.037099729890809945,0.8969701840392188,0.3688358823096815,0.3872264490599274,False
z/WeiZhao,2,0.23999999999999827,0.05085516467301973,0.898450392433085,0.35882652355270517,0.3870330201647021,False
98/5660,2,0.23799999999999916,0.04428703611706565,0.8864268128027958,0.3738598758100115,0.385643431182468,False
56/5807-1,2,0.23600000000000002,0.05043547945262171,0.9015347334410341,0.34357427880885977,0.3828861229256289,False
65/4423,2,0.24799999999999855,0.043811216299278616,0.8879077167859984,0.3504540519826527,0.38254324626698205,False
33/4528,2,0.24799999999999855,0.03781655535701563,0.8867789607500396,0.3566621218793711,0.3823144094966062,False
h/ThomasSHuang,2,0.2699999999999983,0.04208275072692493,0.8733518525763919,0.33894985194791327,0.3810961138128071,False
66/3019,2,0.22799999999999976,0.08480731263475755,0.8938095619444221,0.3103986815483904,0.37925388903189244,False
87/3534,2,0.23600000000000002,0.04125943901311384,0.885126293667473,0.3503753148575423,0.3781902618845323,False
93/3488,2,0.2299999999999989,0.022738126745637202,0.8825366702249634,0.37740072709883865,0.37816888101735957,False
62/5860,2,0.21000000000000013,0.021477127812886996,0.8949204185543038,0.38133733093069755,0.3769337193244721,False
31/2088,2,0.23600000000000002,0.03642857752920546,0.8936664264552808,0.3362140676636306,0.3755772679120293,False
73/2252,2,0.22399999999999964,0.038190146634548686,0.8819090514005767,0.3516554675734245,0.37393866640213735,False
181/2689,2,0.23600000000000002,0.05195708069240955,0.8795807392229489,0.32788468681861277,0.3738556266834928,False
50/2484,2,0.23799999999999916,0.0369834409880758,0.8855827977465683,0.332450572406685,0.3732542027853321,False
l/KaiLi,2,0.20399999999999902,0.023456883346100344,0.8876252584698585,0.3759690195217433,0.3727627903344253,False
46/999,2,0.2299999999999989,0.048031442515103565,0.8913468833606198,0.3203779168276025,0.3724390606758312,False
42/3332,2,0.2779999999999985,0.06569921906903421,0.8873429798060106,0.25871365853153866,0.3724389643516455,False
181/2847,2,0.2299999999999989,0.03819940495420775,0.8958542360637316,0.3223712613331051,0.37160622558776085,False
87/2948,2,0.2139999999999984,0.040403333533837196,0.8878370853551826,0.342296355306307,0.3711341935488313,False
20/2970,2,0.24199999999999927,0.05723248914635628,0.8773336477616633,0.3016230680137345,0.36954730123043833,False
30/2395,2,0.20399999999999902,0.012456760313756896,0.8801009344320467,0.3763871430698583,0.3682362094539152,False
h/StevenCHHoi,2,0.23799999999999916,0.11463129730999456,0.903944277962258,0.2144512171552868,0.3677566981068846,False
88/2827,2,0.2199999999999995,0.036115687212588114,0.8813519169266002,0.33129020362018086,0.36718945193984215,False
84/7019,2,0.23799999999999916,0.02550434664520193,0.8680874231935909,0.33701254453267837,0.3671510785928676,False
s/HTShen,2,0.25399999999999967,0.02743585692889931,0.8689322278017829,0.3141746113995936,0.36613567403256886,False
c/JiannongCao,2,0.2619999999999999,0.05251155912029325,0.8893581417586358,0.252064942098093,0.3639836607442555,False
90/514,2,0.2159999999999994,0.06638639447385904,0.8905645322162379,0.27765517038115545,0.36265152426781294,False
98/6613,2,0.20799999999999916,0.057380649995432055,0.88794303671586,0.29705764004296153,0.36259533168856317,False
06/3071,2,0.2459999999999994,0.03390625055092823,0.8730102858930736,0.2894544548682074,0.3605927478280522,False
13/3479,2,0.19799999999999976,0.024757366973924572,0.8818393710741516,0.3350509109294682,0.359911912244386,False
03/4702,2,0.19999999999999887,0.03282704188824387,0.885688211720827,0.31971099925870294,0.3595565632169432,False
49/3283-5,2,0.2459999999999994,0.01857848969244605,0.8650261577213718,0.30724899512886755,0.3592134106356712,False
27/2403,2,0.2839999999999997,0.038192011257719344,0.8619864071671302,0.25149348305055713,0.35891797536885156,False
17/6729,2,0.19799999999999976,0.027989021765332644,0.8819090514005767,0.3276287236677593,0.3588816992084171,False
59/2741,2,0.22199999999999864,0.02499052789093031,0.8657978434566752,0.31978289320853337,0.35814281613903437,False
181/2815,2,0.19399999999999962,0.04655352484099593,0.8871666467946426,0.30470102350847794,0.35810529878602904,False
39/4543,2,0.2159999999999994,0.018440244613295857,0.866268239677119,0.330600349372007,0.35782720841560534,False
181/2613,2,0.19799999999999976,0.0277709395559656,0.8954589216944802,0.30906995782299945,0.3575749547683612,False
20/2039,2,0.2139999999999984,0.0346473814678698,0.8704230844219146,0.31054726959749673,0.35740443387181986,False
29/4638,2,0.21799999999999853,0.029388389409654662,0.8762315996074583,0.3046417025119766,0.357065422882272,False
64/5666-6,2,0.22799999999999976,0.02949508066270808,0.8691352256356345,0.2995299033631632,0.35654005241537634,False
65/4872,2,0.2199999999999995,0.02053671585131584,0.8590671182266011,0.32485663493232037,0.3561151172525592,False
59/4107,2,0.22599999999999876,0.03201998239384424,0.8751666274602056,0.2883373773959649,0.35538099681250335,False
98/2604,2,0.19799999999999976,0.03337156874365694,0.8862860319224967,0.3023601667260629,0.3550044418480541,False
05/3403,2,0.1899999999999995,0.03092362749075601,0.8884024516437156,0.3093020819116287,0.35465704026152495,False
p/HVincentPoor,2,0.2939999999999991,0.07320671040794108,0.8689998832094055,0.1816400222993278,0.35446165397916835,False
l/StanZLi,2,0.23799999999999916,0.02287303201952815,0.8469418728183336,0.30946083977853034,0.3543189361540978,False
85/1301,2,0.2319999999999999,0.022259109309519468,0.8590010005387517,0.30352195745688754,0.35419551682628964,False
h/BingshengHe,2,0.22199999999999864,0.12238624722071495,0.8951357420700164,0.17403807044209235,0.3533900149332056,False
94/4084,2,0.2159999999999994,0.040009614457140595,0.8848806786648696,0.2705582189314452,0.3528621280133637,False
87/1222,2,0.2019999999999999,0.03182302839635272,0.881734871227682,0.29494682507879694,0.35262618117570793,False
67/1120,2,0.2019999999999999,0.04451863823354299,0.8832700221589109,0.27924789482864304,0.3522591388052742,False
10/217,2,0.19599999999999876,0.03291869564266978,0.8822924901185771,0.2961766732961802,0.35184696476435645,False
84/3795,2,0.21799999999999853,0.03688878157860028,0.8711024390243903,0.27666342783431125,0.3506636621093251,False
04/6901,2,0.22199999999999864,0.052520521042778275,0.8731127278416646,0.25140006117146857,0.3497583275139775,False
14/5580,2,0.20600000000000002,0.045455270938651995,0.8906711355837522,0.2566201014043186,0.3496866269816807,False
10/2674,2,0.1879999999999985,0.02233793950290165,0.8796153997714468,0.30762211115103455,0.3493938626063453,False
09/3493,2,0.2199999999999995,0.05463491590292649,0.8862860319224967,0.23619830348449353,0.349279812827479,False
48/1091,2,0.2439999999999984,0.060294574511615996,0.8938095619444221,0.19855371915532727,0.34916446390284095,False
l/ZhaoLi,2,0.20799999999999916,0.05577729920773645,0.8850911974623316,0.24558188995441393,0.34861259665612027,False
d/LingyuDuan,2,0.22599999999999876,0.03342125148410051,0.8771612700408677,0.256936318742235,0.34837971006680046,False
55/112,2,0.23600000000000002,0.02219151220817395,0.8465885387036828,0.2886776109919831,0.34836441547596,False
75/1030,2,0.2139999999999984,0.008964996011578718,0.8514322767669833,0.3168517745379836,0.347812261829136,False
06/5919,2,0.1899999999999995,0.018810324388250595,0.8761972052127492,0.3060444416084578,0.3477629928023643,False
22/4544,2,0.22199999999999864,0.009885055376223393,0.8306478621664869,0.3282882282345361,0.34770528644431126,False
67/6383,2,0.19599999999999876,0.022892797469928627,0.8699481663353988,0.30157814595089605,0.3476047774390556,False
54/4089,2,0.18599999999999936,0.027279231006497102,0.8817697017578511,0.2950769621896638,0.34753147373850285,False
69/510,2,0.23600000000000002,0.042033357816295434,0.8680874231935909,0.2436531001986298,0.347443470302129,False
15/1123,2,0.24999999999999956,0.05014640696900001,0.8708645443196006,0.21800164375807835,0.3472531487616696,False
57/2056,2,0.17999999999999824,0.018893312940493453,0.8807259814559084,0.308580866280596,0.347050040169249,False
38/5267,2,0.17999999999999824,0.015073938680306242,0.8719531250000001,0.32086748124566833,0.34697363623149324,False
37/2109,2,0.18399999999999836,0.027840224992893084,0.8759565200329631,0.2974582230951264,0.34631374203024523,False
63/1591,2,0.17999999999999824,0.026276238961758673,0.8745494436608683,0.30442398355544587,0.3463124165445178,False
99/311,2,0.17999999999999824,0.0527755477401346,0.876506852004555,0.27508889487787147,0.34609282365563987,False
52/328,2,0.19599999999999876,0.02648186947342387,0.8674127613274266,0.2936438155924427,0.34588461159832296,False
59/1501,2,0.22199999999999864,0.014646236369044845,0.8517571641164575,0.2938056633685934,0.3455522659635236,False
89/4402,2,0.18599999999999936,0.02316650604299826,0.873796289047209,0.2960105819598026,0.3447433442625023,False
48/1097,2,0.1879999999999985,0.014213966616187951,0.876162813518075,0.29952287393576765,0.34447491351750725,False
40/3714,2,0.173999999999999,0.026146188610024386,0.8789227074063864,0.2984408190231075,0.3443774287598793,False
09/3925,2,0.18199999999999925,0.01966965551462852,0.8718850089836732,0.2985988524632983,0.3430383792403998,False
67/1771,2,0.1779999999999991,0.03369625038549754,0.8840396039603959,0.2746637626112986,0.3425999042392978,False
98/4432,2,0.19399999999999962,0.03382666095536959,0.8753382220305085,0.2654740212686136,0.3421597260636228,False
56/8278,2,0.2199999999999995,0.02841053915955519,0.8694737662135317,0.2492650000683234,0.3417873263603525,False
57/145,2,0.18599999999999936,0.011216136559606793,0.8627526765353843,0.3071036680473019,0.3417681202855731,False
181/2799,2,0.17999999999999824,0.024100640442836125,0.8731127278416646,0.28943431262485236,0.3416619202273378,False
63/778,2,0.19999999999999887,0.0420520813576646,0.8830603687000553,0.24073875073601644,0.3414628001984338,False
36/3071,2,0.1779999999999991,0.022668575254673945,0.8881903549259909,0.2765878064917062,0.34136168416809254,False
71/208,2,0.18399999999999836,0.031049792055882222,0.8831651829871414,0.2663892166984882,0.34115104793537754,False
97/6308-1,2,0.20799999999999916,0.020672947440452862,0.8625859803694257,0.2717143966216493,0.34074333110788174,False
42/469,2,0.20399999999999902,0.0335256991301383,0.8723620447084571,0.25232176659793587,0.34055237760913254,False
17/7992,2,0.25199999999999867,0.013272912899116501,0.8133950369857524,0.2830579408341944,0.3404314726797655,False
49/3441,2,0.22199999999999864,0.015813700185166136,0.8441234306458933,0.2750751273516415,0.33925306454567494,False
20/4152,2,0.1879999999999985,0.028626689564896442,0.8746865203761754,0.2647840890358544,0.33902432474423116,False
20/6417,2,0.16799999999999973,0.05949641564253509,0.8774371069182388,0.2500018661808052,0.33873384718539473,False
45/2091-1,2,0.18399999999999836,0.009618977161224498,0.8635537158110566,0.29499522128412753,0.33804197856410173,False
39/6752,2,0.1899999999999995,0.01612100168220651,0.8633199257425743,0.2823521586502514,0.3379482715187579,False
06/4240,2,0.18199999999999925,0.03787988014808441,0.8693383183393698,0.2624421359304672,0.33791508360448014,False
27/7017,2,0.17199999999999985,0.05079073696602794,0.8801703402862663,0.24816613792218972,0.33778180379362094,False
c/XilinChen,2,0.2199999999999995,0.011710054327782354,0.8306169531889558,0.28846830500454795,0.3376988281303214,False
35/5873,2,0.2299999999999989,0.0748774155317617,0.8832350730028093,0.16259164397551581,0.3376760331275214,False
64/5845,2,0.18599999999999936,0.02801747475319112,0.8705249200530379,0.26345208130093034,0.33699861902678974,False
64/3062,2,0.1779999999999991,0.021316185391206045,0.8753382220305085,0.2722168839819156,0.33671782285090734,False
33/4854-1,2,0.2199999999999995,0.0176953821953943,0.8451141483360467,0.2638622643371809,0.33666794871715533,False
h/JiaweiHan,2,0.24199999999999927,0.03501294257141627,0.8574830977258759,0.2116901631266719,0.33654655085599083,False
96/5144,2,0.18599999999999936,0.017985760856108167,0.8652944140791564,0.27635968061150146,0.33640996388669137,False
48/1294,2,0.1779999999999991,0.036550814402169216,0.8731127278416646,0.2573889179852485,0.33626311505727036,False
19/5112,2,0.16199999999999862,0.03079565273388295,0.8769200549990179,0.2752022531812358,0.3362294902285339,False
10/2639,2,0.18399999999999836,0.03721190175735582,0.8675138937468424,0.25479369542935043,0.3358798727333867,False
77/1243,2,0.22399999999999964,0.02781702709075114,0.8339996263777322,0.25743255871080617,0.3358123030448223,False
90/3575,2,0.2159999999999994,0.023898302461967905,0.8634201059838317,0.23783224756708438,0.33528766400322085,False
76/185,2,0.20600000000000002,0.026576968373899622,0.8560362018714526,0.2520434990857973,0.33516416733278737,False
66/3973,2,0.1599999999999995,0.043527885826508565,0.8834448094352318,0.2524429221579169,0.33485390435491424,False
41/3241,2,0.17999999999999824,0.020652478277451505,0.8725666484246737,0.2646124621504443,0.3344578972131419,False
96/2744,2,0.176,0.030506318177565706,0.8670421441056516,0.2626598056617734,0.3340520669862477,False
99/3847,2,0.16599999999999876,0.014897482285611973,0.8706267795155817,0.2844749294362784,0.3339997978093677,False
l/EePengLim,2,0.25999999999999895,0.10384975645933582,0.8469097393481807,0.12417721084197914,0.33373417666237365,False
47/4826,2,0.16599999999999876,0.022196256350348775,0.8784039036675587,0.26818184664092826,0.3336955016647086,False
33/85,2,0.16599999999999876,0.03020838724737047,0.8770234166273769,0.26029745926034614,0.3333823157837731,False
31/4112,2,0.20799999999999916,0.011290307552236973,0.8285820341499628,0.28484769714347535,0.3331800097114186,False
s/ShiguangShan,2,0.19399999999999962,0.010988309639435959,0.8353416660429609,0.2915663266035424,0.33297407557148473,False
23/1818,2,0.19799999999999976,0.015182595689730955,0.8424985846386109,0.2752396401274321,0.33273020511394347,False
17/2247,2,0.17199999999999985,0.04587288004271783,0.8617201976528721,0.25031778232264146,0.3324777150045578,False
k/AlexChiChungKot,2,0.19999999999999887,0.07080136687587928,0.9000443530502804,0.15862144734684602,0.33236679181825113,False
73/1149,2,0.18199999999999925,0.04013634302728854,0.876128424523118,0.23000891289023276,0.33206842011015963,False
