Faculty,Position,Gender,Management,DBLP,Area,Unnamed: 6,link,pid
Tang Xueyan,Associate Professor,M,N,https://dblp.org/pers/t/Tang:Xueyan.html,Distributed Systems,,https://dblp.org/pid/23/2460.xml,23/2460
Vun Chan Hua Nicholas,Associate Professor,M,N,https://dblp.org/pers/v/Vun:Nicholas_C=_H=.html,Computer Architecture,,https://dblp.org/pid/69/8028.xml,69/8028
Xavier Bresson,Associate Professor,M,N,https://dblp.uni-trier.de/pers/b/Bresson:Xavier.html,AI/ML,,https://dblp.uni-trier.de/pid/95/378.xml,95/378
Yeo Chai Kiat,Associate Professor,F,Y,https://dblp.org/pers/y/Yeo:Chai_Kiat.html,Computer Networks,,https://dblp.org/pid/52/910.xml,52/910
Yu Han,Assistant Professor,M,N,https://dblp.org/pers/hd/y/Yu_0001:Han,AI/ML,,https://dblp.org/pid/35/1096-1.xml,35/1096-1
Zhang Hanwang,Assistant Professor,M,N,https://dblp.org/pers/z/Zhang:Hanwang.html,Computer Vision,,https://dblp.org/pid/79/8116.xml,79/8116
Zhang Jie,Associate Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang_0002:Jie,AI/ML,,https://dblp.uni-trier.de/pid/84/6889-2.xml,84/6889-2
Zhao Jun,Assistant Professor,M,N,https://dblp.uni-trier.de/pid/47/2026-7.html,Computer Networks,,https://dblp.uni-trier.de/pid/47/2026-7.xml,47/2026-7
Zheng Jianmin,Associate Professor,M,N,https://dblp.uni-trier.de/pers/z/Zheng:Jianmin.html,Computer Graphics,,https://dblp.uni-trier.de/pid/09/5452.xml,09/5452
Zinovi Rabinovich  ,Assistant Professor,M,N,https://dblp.org/pers/r/Rabinovich:Zinovi.html,AI/ML,,https://dblp.org/pid/93/4009.xml,93/4009
Miao Chunyan,Professor,F,Y,https://dblp.uni-trier.de/pers/m/Miao:Chunyan.html,AI/ML,,https://dblp.uni-trier.de/pid/m/ChunyanMiao.xml,m/ChunyanMiao
Thambipillai Srikanthan,Professor,M,Y,https://dblp.uni-trier.de/pers/s/Srikanthan:Thambipillai.html,Computer Architecture,,https://dblp.uni-trier.de/pid/23/1694.xml,23/1694
Ong Yew Soon,Professor,M,Y,https://dblp.uni-trier.de/pers/o/Ong:Yew=Soon.html,AI/ML,,https://dblp.uni-trier.de/pid/64/4136.xml,64/4136
Shen Zhiqi,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/s/Shen:Zhiqi,AI/ML,,https://dblp.uni-trier.de/pid/03/1554.xml,03/1554
Tay Kian Boon,Senior Lecturer,M,N,https://dblp.uni-trier.de/pers/hd/t/Tan:Kian_Boon,Cyber Security,,https://dblp.uni-trier.de/pid/36/9306.xml,36/9306
Wen Yonggang,Professor,M,N,https://dblp.org/pid/33/885.html,Multimedia,,https://dblp.org/pid/33/885.xml,33/885
Zhang Tianwei,Assistant Professor,M,N,https://dblp.uni-trier.de/pers/hd/z/Zhang:Tianwei,Cyber Security,,https://dblp.uni-trier.de/pid/77/7902.xml,77/7902
Boyang Li,Associate Professor,M,N,https://dblp.org/pid/70/1211.html,AI/ML,,https://dblp.org/pid/70/1211.xml,70/1211
Liu Zhiwei,Assistant Professor,M,N,https://dblp.org/pid/90/9499.html,Computer Vision,,https://dblp.org/pid/90/9499.xml,90/9499
Luu Anh Tuan,Assistant Professor,M,N,https://dblp.org/pid/81/8329.html,AI/ML,,https://dblp.org/pid/81/8329.xml,81/8329
